                                    sIP|                                    dIP|sPort|dPort|pro|   packets|     bytes|   flags|                  sTime| duration|                  eTime|sen|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|57401|   22|  6|         6|       450|        |2015/04/10T13:44:31.326|    0.100|2015/04/10T13:44:31.426|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|55993|  443|  6|         9|      1130|        |2015/04/10T13:44:45.120|    0.200|2015/04/10T13:44:45.320|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|56809|  6|         5|       959|        |2015/04/10T13:44:45.170|    0.150|2015/04/10T13:44:45.320|  0|
  2607:2000:100:116:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|  443|55993|  6|         9|      2563|        |2015/04/10T13:44:44.280|    0.200|2015/04/10T13:44:44.480|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|  2607:2000:100:116:92e2:baff:fe5a:7ded|56809|   80|  6|         5|       488|        |2015/04/10T13:44:44.330|    0.150|2015/04/10T13:44:44.480|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|   80|45636|  6|         5|       959|        |2015/04/10T13:44:59.330|    0.000|2015/04/10T13:44:59.330|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|41424|  443|  6|         9|      1130|        |2015/04/10T13:45:03.330|    0.100|2015/04/10T13:45:03.430|  0|
   2002:8891:e71f:8:92e2:baff:fe5a:7ded|   2607:2000:100:116:225:90ff:fe8e:b4a0|  443|41424|  6|         9|      2563|        |2015/04/10T13:45:03.330|    0.100|2015/04/10T13:45:03.430|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|59307|   22|  6|         6|       450|        |2015/04/10T13:45:08.330|    0.250|2015/04/10T13:45:08.580|  0|
             fec0::8:225:90ff:fe8e:b4a0|            fec0::8:92e2:baff:fe5a:7ded|48761|   80|  6|         5|       488|        |2015/04/10T13:45:04.330|    0.150|2015/04/10T13:45:04.480|  0|
            fec0::8:92e2:baff:fe5a:7ded|             fec0::8:225:90ff:fe8e:b4a0|   80|48761|  6|         5|       959|        |2015/04/10T13:45:04.330|    0.150|2015/04/10T13:45:04.480|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|49151|   22|  6|         6|       450|        |2015/04/10T13:45:04.330|    0.150|2015/04/10T13:45:04.480|  0|
   2607:2000:100:116:225:90ff:fe8e:b4a0|   2002:8891:e71f:8:92e2:baff:fe5a:7ded|45636|   80|  6|         5|       488|        |2015/04/10T13:44:59.330|    0.000|2015/04/10T13:44:59.330|  0|
